"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HCLTECH","EQ","26-Aug-2015","        914.05","        912.10","        934.90","        884.00","        910.00","        902.45","        914.49","    2404510","          2198892885.15","     100260"
"HCLTECH","EQ","27-Aug-2015","        902.45","        908.10","        927.95","        905.40","        913.70","        913.10","        916.27","    2027885","          1858090051.90","      94052"
"HCLTECH","EQ","28-Aug-2015","        913.10","        924.60","        954.90","        924.50","        952.10","        952.20","        942.79","    1540899","          1452742093.55","      45861"
"HCLTECH","EQ","31-Aug-2015","        952.20","        958.20","        980.00","        958.20","        973.00","        971.05","        970.38","    2721287","          2640681289.30","      94774"
"HCLTECH","EQ","01-Sep-2015","        971.05","        967.00","        976.50","        926.00","        952.00","        947.60","        951.72","    1423923","          1355177566.45","      54446"
"HCLTECH","EQ","02-Sep-2015","        947.60","        950.00","        968.95","        944.10","        950.00","        948.90","        953.68","    2045060","          1950340654.75","      76837"
"HCLTECH","EQ","03-Sep-2015","        948.90","        962.00","        966.75","        950.50","        962.15","        961.00","        957.96","    1125982","          1078644295.60","      40025"
"HCLTECH","EQ","04-Sep-2015","        961.00","        958.25","        964.35","        936.00","        940.00","        940.30","        949.51","    1332890","          1265588754.65","      60442"
"HCLTECH","EQ","07-Sep-2015","        940.30","        940.00","        944.95","        915.00","        921.20","        920.85","        924.51","     670252","           619656533.85","      31007"
"HCLTECH","EQ","08-Sep-2015","        920.85","        918.00","        944.05","        918.00","        938.40","        936.35","        935.22","    1188331","          1111350862.00","      31678"
"HCLTECH","EQ","09-Sep-2015","        936.35","        943.00","        956.00","        938.00","        939.90","        943.20","        947.89","    1053214","           998325911.60","      51751"
"HCLTECH","EQ","10-Sep-2015","        943.20","        933.00","        936.00","        909.00","        918.25","        915.90","        918.75","    2059423","          1892096024.65","      59823"
"HCLTECH","EQ","11-Sep-2015","        915.90","        921.00","        924.95","        906.45","        919.00","        920.20","        916.29","    1101375","          1009178727.15","      39094"
"HCLTECH","EQ","14-Sep-2015","        920.20","        921.20","        931.00","        917.20","        927.45","        928.55","        925.20","     769871","           712284577.05","      21440"
"HCLTECH","EQ","15-Sep-2015","        928.55","        930.00","        931.60","        921.00","        929.55","        928.80","        926.89","    1225838","          1136217761.05","      34209"
"HCLTECH","EQ","16-Sep-2015","        928.80","        938.00","        947.65","        930.15","        938.05","        938.90","        939.54","     900533","           846088686.00","      33348"
"HCLTECH","EQ","18-Sep-2015","        938.90","        954.00","        955.90","        937.60","        947.00","        950.55","        949.06","    1423976","          1351434074.65","      43673"
"HCLTECH","EQ","21-Sep-2015","        950.55","        942.05","        969.25","        941.70","        942.00","        944.00","        950.54","     986281","           937499790.45","      60985"
"HCLTECH","EQ","22-Sep-2015","        944.00","        947.00","        965.50","        931.00","        935.00","        943.20","        951.56","    1607309","          1529456490.60","      69539"
"HCLTECH","EQ","23-Sep-2015","        943.20","        935.00","        935.00","        912.75","        928.00","        927.10","        926.43","    1138259","          1054513494.50","      35028"
"HCLTECH","EQ","24-Sep-2015","        927.10","        928.00","        958.50","        927.60","        956.00","        954.95","        948.39","    1531310","          1452276181.70","      44495"
"HCLTECH","EQ","28-Sep-2015","        954.95","        956.00","        964.45","        945.00","        948.05","        950.50","        955.84","     778719","           744327457.80","      36937"
"HCLTECH","EQ","29-Sep-2015","        950.50","        940.00","        960.50","        940.00","        948.55","        953.70","        954.19","    1409214","          1344652324.70","      59721"
"HCLTECH","EQ","30-Sep-2015","        953.70","        962.00","        989.70","        953.85","        985.00","        982.15","        969.89","    1758142","          1705204255.70","      59410"
"HCLTECH","EQ","01-Oct-2015","        982.15","        890.00","        914.80","        834.85","        859.00","        857.05","        877.69","   13383212","         11746286945.35","     305554"
"HCLTECH","EQ","05-Oct-2015","        857.05","        845.70","        870.80","        838.05","        862.75","        859.90","        854.90","    6691881","          5720891647.00","     188366"
"HCLTECH","EQ","06-Oct-2015","        859.90","        863.00","        868.00","        848.70","        854.45","        853.60","        854.77","    2954731","          2525602734.10","      67211"
"HCLTECH","EQ","07-Oct-2015","        853.60","        845.00","        848.75","        811.10","        820.05","        817.20","        824.88","    6876337","          5672137106.80","     156418"
"HCLTECH","EQ","08-Oct-2015","        817.20","        828.80","        837.40","        812.50","        826.00","        828.20","        825.89","    8608424","          7109623925.30","     149114"
"HCLTECH","EQ","09-Oct-2015","        828.20","        835.50","        850.80","        833.50","        850.00","        849.20","        844.02","    4734168","          3995712298.20","     157311"
"HCLTECH","EQ","12-Oct-2015","        849.20","        859.00","        860.95","        829.65","        856.00","        855.10","        848.94","    2417923","          2052675429.75","      77153"
"HCLTECH","EQ","13-Oct-2015","        855.10","        852.00","        853.00","        826.35","        831.00","        829.90","        832.58","    2918689","          2430048461.95","     121472"
"HCLTECH","EQ","14-Oct-2015","        829.90","        829.00","        838.95","        825.00","        832.50","        833.55","        832.44","    1351079","          1124685502.65","      70926"
